Skyline_filename,MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_HMP_ID,ATTRIBUTE_HMP_Strain,ATTRIBUTE_NCBI ID,ATTRIBUTE_Domain,ATTRIBUTE_SuperPhyla,ATTRIBUTE_Phylum,ATTRIBUTE_Class,ATTRIBUTE_Order,ATTRIBUTE_Family,ATTRIBUTE_Genus,ATTRIBUTE_Species,ATTRIBUTE_Subspecies,ATTRIBUTE_Source,ATTRIBUTE_Source_health_status,ATTRIBUTE_Media_type,ATTRIBUTE_Sample _type
HMP_FCM_P1_A4.d,MSV000084475,HM_133_BA4_01_45716.mzXML,culture_bacterial,culture_bacterial,879307|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_133,Gardnerella vaginalis UPII 315_A,879307,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,unspecified,FCM,culture_bacterial
HMP_FCM_P1_A10.d,MSV000084475,HM_179_BA10_01_45724.mzXML,culture_bacterial,culture_bacterial,457408|Phascolarctobacterium sp. 3_1_syn4,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_179,Phascolarctobacterium sp. 3_1_syn4,457408,Bacteria,Terrabacteria group,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,not applicable,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P1_C11.d,MSV000084475,HM_18_BC11_01_45757.mzXML,culture_bacterial,culture_bacterial,469588|Bacteroides sp. 2_1_22,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_18,Bacteroides sp. 2_1_22,469588,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,healthy,FCM,culture_bacterial
HMP_FCM_P1_E7.d,MSV000084475,HM_182_BE7_01_45787.mzXML,culture_bacterial,culture_bacterial,552395|Clostridiales bacterium 4_1_37FAA,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_182,Clostridiales bacterium 4_1_37FAA,552395,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,not specified,not specified,not specified,gastrointestinal_tissue,diseased_indeterminate colitis,FCM,culture_bacterial
HMP_FCM_P1_D3.d,MSV000084475,HM_189_BD3_01_45765.mzXML,culture_bacterial,culture_bacterial,585543|Bacteroides sp. D20,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_189,Bacteroides sp. D20,585543,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_C1.d,MSV000084475,HM_20_BC1_01_45745.mzXML,culture_bacterial,culture_bacterial,457424|Bacteroides fragilis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_20,Bacteroides fragilis 3_1_12,457424,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,not applicable,gastrointestinal_tissue,healthy,FCM,culture_bacterial
HMP_FCM_P1_B9.d,MSV000084475,HM_210_BB9_01_45739.mzXML,culture_bacterial,culture_bacterial,665953|Bacteroides eggerthii,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_210,Bacteroides eggerthii 1_2_48FAA,665953,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,not applicable,gastrointestinal_tissue,diseased_IBS,FCM,culture_bacterial
HMP_FCM_P1_C6.d,MSV000084475,HM_222_BC6_01_45750.mzXML,culture_bacterial,culture_bacterial,665954|Bacteroides ovatus,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_222,Bacteroides ovatus 3_8_47FAA,665954,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_C9.d,MSV000084475,HM_23_BC9_01_45755.mzXML,culture_bacterial,culture_bacterial,not specified,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_23,Bacteroides sp. 1_1_6,818,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,healthy,FCM,culture_bacterial
HMP_FCM_P1_B2.d,MSV000084475,HM_238_BB2_01_45730.mzXML,culture_bacterial,culture_bacterial,562973|Actinomyces viscosus,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_238,Actinomyces viscosus C505,562973,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,not applicable,sputum,diseased_Cystic Fibrosis,FCM,culture_bacterial
HMP_FCM_P1_C12.d,MSV000084475,HM_258_BC12_01_45758.mzXML,culture_bacterial,culture_bacterial,457393|Bacteroides sp. 4_1_36,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_258,Bacteroides sp. 4_1_36,457393,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_D1.d,MSV000084475,HM_27_BD1_01_45763.mzXML,culture_bacterial,culture_bacterial,457395|Bacteroides sp. 9_1_42FAA,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_27,Bacteroides sp. 9_1_42FAA,457395,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,diseased_microscopic colitis,FCM,culture_bacterial
HMP_FCM_P1_D2.d,MSV000084475,HM_28_BD2_01_45764.mzXML,culture_bacterial,culture_bacterial,556259|Bacteroides sp. D2,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_28,Bacteroides sp. D2,556259,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,healthy,FCM,culture_bacterial
HMP_FCM_P1_B5.d,MSV000084475,HM_29_BB5_01_45733.mzXML,culture_bacterial,culture_bacterial,556260|Bacteroides dorei 5_1_36/D4,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_29,Bacteroides dorei 5_1_36/D4,556260,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_E4.d,MSV000084475,HM_30_BE4_01_45782.mzXML,culture_bacterial,culture_bacterial,216816|Bifidobacterium longum,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_30,Bifidobacterium sp. 12_1_47BFAA,216816,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,not applicable,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_A1.d,MSV000084475,HM_303_BA1_01_45713.mzXML,culture_bacterial,culture_bacterial,742738|Clostridium orbiscindens,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_303,Clostridium orbiscindens 1_3_50AFAA,742738,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_E10.d,MSV000084475,HM_307_BE10_01_45790.mzXML,culture_bacterial,culture_bacterial,742731|Clostridium aldenense WAL-18727,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_307,Clostridium aldenense WAL_18727,742731,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium aldenense,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_A2.d,MSV000084475,HM_319_BA2_01_45714.mzXML,culture_bacterial,culture_bacterial,742741|Clostridium symbiosum,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_319,Clostridium symbiosum WAL_14673,742741,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium symbiosum,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_D8.d,MSV000084475,HM_411_BD8_01_45772.mzXML,culture_bacterial,culture_bacterial,858694|Bifidobacterium breve EX336960VC18,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_411,Bifidobacterium breve EX336960VC18,858694,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,not applicable,vaginal,unspecified,FCM,culture_bacterial
HMP_FCM_P1_D9.d,MSV000084475,HM_412_BD9_01_45773.mzXML,culture_bacterial,culture_bacterial,858695|Bifidobacterium breve EX336960VC19,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_412,Bifidobacterium breve EX336960VC19,858695,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,not applicable,vaginal,unspecified,FCM,culture_bacterial
HMP_FCM_P1_C2.d,MSV000084475,HM_480_BC2_01_45746.mzXML,culture_bacterial,culture_bacterial,796942|Stomatobaculum longumACC2,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_480,Stomatobaculum longumACC2,796942,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum,not applicable,not applicable,oral,unspecified,FCM,culture_bacterial
HMP_FCM_P1_B10.d,MSV000084475,HM_57_BB10_01_45740.mzXML,culture_bacterial,culture_bacterial,"457404|Fusobacterium ulcerans, 12_1B",2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_57,"Fusobacterium ulcerans, 12_1B",457404,Bacteria,not applicable,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_A12.d,MSV000084475,HM_574_BA12_01_45726.mzXML,culture_bacterial,culture_bacterial,999427|Treponema denticola,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_574,Treponema denticola ASLM,999427,Bacteria,not applicable,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola,not applicable,oral,unspecified,FCM,culture_bacterial
HMP_FCM_P1_A11.d,MSV000084475,HM_575_BA11_01_45725.mzXML,culture_bacterial,culture_bacterial,999426|Treponema denticola AL-2,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_575,Treponema denticola AL_2,999426,Bacteria,not applicable,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola,not applicable,oral,unspecified,FCM,culture_bacterial
HMP_FCM_P1_C10.d,MSV000084475,HM_58_BC10_01_45756.mzXML,culture_bacterial,culture_bacterial,not specified,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_58,Bacteroides sp. 2_1_16,817,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,not applicable,not applicable,gastrointestinal_tissue,healthy,FCM,culture_bacterial
